# LAMMPS data file written by OVITO Pro 3.5.4
180 atoms
2 atom types
0.0 15.336255 xlo xhi
0.0 14.75731 ylo yhi
0.0 29.7984842388 zlo zhi

Masses #1:Fe, 2:Au in grams/mol

1 55.847
2 196.96657

Atoms  # atomic

1 2 15.33621 5.0e-05 29.74944
2 2 2.55604 1.47573 29.74944
3 2 1.70403 5.0e-05 2.3716
4 2 4.26007 1.47573 2.3716
5 2 0.85201 1.47573 4.77837
6 2 3.40805 5.0e-05 4.77837
7 2 15.33621 5.0e-05 7.18999
8 2 2.55604 1.47573 7.18999
9 2 1.70403 5.0e-05 9.59675
10 2 4.26007 1.47573 9.59675
11 2 0.85201 1.47573 12.01734
12 2 3.40805 5.0e-05 12.01734
13 2 15.33621 2.95146 29.74944
14 2 2.55604 4.42719 29.74944
15 2 1.70403 2.95146 2.3716
16 2 4.26007 4.42719 2.3716
17 2 0.85201 4.42719 4.77837
18 2 3.40805 2.95146 4.77837
19 2 15.33621 2.95146 7.18999
20 2 2.55604 4.42719 7.18999
21 2 1.70403 2.95146 9.59675
22 2 4.26007 4.42719 9.59675
23 2 0.85201 4.42719 12.01734
24 2 3.40805 2.95146 12.01734
25 2 15.33621 5.90292 29.74944
26 2 2.55604 7.37866 29.74944
27 2 1.70403 5.90292 2.3716
28 2 4.26007 7.37866 2.3716
29 2 0.85201 7.37866 4.77837
30 2 3.40805 5.90292 4.77837
31 2 15.33621 5.90292 7.18999
32 2 2.55604 7.37866 7.18999
33 2 1.70403 5.90292 9.59675
34 2 4.26007 7.37866 9.59675
35 2 0.85201 7.37866 12.01734
36 2 3.40805 5.90292 12.01734
37 2 15.33621 8.85439 29.74944
38 2 2.55604 10.33012 29.74944
39 2 1.70403 8.85439 2.3716
40 2 4.26007 10.33012 2.3716
41 2 0.85201 10.33012 4.77837
42 2 3.40805 8.85439 4.77837
43 2 15.33621 8.85439 7.18999
44 2 2.55604 10.33012 7.18999
45 2 1.70403 8.85439 9.59675
46 2 4.26007 10.33012 9.59675
47 2 0.85201 10.33012 12.01734
48 2 3.40805 8.85439 12.01734
49 2 15.33621 11.80583 29.74944
50 2 2.55604 13.28154 29.74944
51 2 1.70403 11.80583 2.3716
52 2 4.26007 13.28154 2.3716
53 2 0.85201 13.28154 4.77837
54 2 3.40805 11.80583 4.77837
55 2 15.33621 11.80583 7.18999
56 2 2.55604 13.28154 7.18999
57 2 1.70403 11.80583 9.59675
58 2 4.26007 13.28154 9.59675
59 2 0.85201 13.28154 12.01734
60 2 3.40805 11.80583 12.01734
61 2 5.11208 5.0e-05 29.74944
62 2 7.66813 1.47573 29.74944
63 2 6.81612 5.0e-05 2.3716
64 2 9.37216 1.47573 2.3716
65 2 5.9641 1.47573 4.77837
66 2 8.52014 5.0e-05 4.77837
67 2 5.11208 5.0e-05 7.18999
68 2 7.66813 1.47573 7.18999
69 2 6.81612 5.0e-05 9.59675
70 2 9.37216 1.47573 9.59675
71 2 5.9641 1.47573 12.01734
72 2 8.52014 5.0e-05 12.01734
73 2 5.11208 2.95146 29.74944
74 2 7.66813 4.42719 29.74944
75 2 6.81612 2.95146 2.3716
76 2 9.37216 4.42719 2.3716
77 2 5.9641 4.42719 4.77837
78 2 8.52014 2.95146 4.77837
79 2 5.11208 2.95146 7.18999
80 2 7.66813 4.42719 7.18999
81 2 6.81612 2.95146 9.59675
82 2 9.37216 4.42719 9.59675
83 2 5.9641 4.42719 12.01734
84 2 8.52014 2.95146 12.01734
85 2 5.11208 5.90292 29.74944
