################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.4706468629129241E+00 a         1     0     1     1     1
  1.7522011980775560E+00 a         2     0     1     1     2
 -2.7468203419249209E+00 a         3     0     1     1     3
  4.3285402070566095E+00 a         4     0     1     1     4
  1.0370129479327914E+00 a         5     0     1     1     5
  8.0003773139861664E-02 a         6     0     1     1     6
 -1.2614351128489756E+00 a         7     0     1     1     7
 -2.9651382375960953E+00 a         8     0     1     1     8
 -6.1730407344641691E-01 a         9     0     1     1     9
 -2.7806344708736046E+00 a        10     0     1     1    10
  6.1256065917751534E-01 a        11     0     1     1    11
 -2.7465266499450043E+00 a        12     0     1     1    12
 -9.4642769206669861E+00 a        13     0     1     1    13
  8.1931566103863585E-01 a        14     0     1     1    14
 -1.3356266467402422E-01 a        15     0     1     1    15
  4.6966624856222845E+00 a        16     0     1     1    16
 -2.7712472797912029E+00 a        17     0     1     1    17
  3.5322667204078333E+00 a        18     0     1     1    18
 -1.6742156729904334E+00 a        19     0     1     1    19
  8.0435840829925507E+00 a        20     0     1     1    20
 -7.1930224187131095E+00 a        21     0     1     1    21
 -2.8129147957063263E+00 a        22     0     1     1    22
 -1.9860798432071047E+00 a        23     0     1     1    23
  1.6778155098110975E+01 a        24     0     1     1    24
 -6.4040510579922225E+00 a        25     0     1     1    25
  1.8335722383098534E+00 a        26     0     2     1     1
 -6.1994464275056205E-01 a        27     0     2     1     2
  1.6932643753325667E+00 a        28     0     2     1     3
  3.2796138109400308E-01 a        29     0     2     1     4
  1.3104456787735355E-01 a        30     0     2     1     5
 -7.9638750116824897E-01 a        31     0     2     1     6
 -5.5126598455854670E-01 a        32     0     2     1     7
  2.4715327745508267E-01 a        33     0     2     1     8
  1.3890245039887592E-02 a        34     0     2     1     9
  9.5389081639010276E-02 a        35     0     2     1    10
  3.5356991426194190E-01 a        36     0     2     1    11
  6.0728115439943442E-01 a        37     0     2     1    12
  1.9030788750772412E+00 a        38     0     2     1    13
  3.2702601086510913E-01 a        39     0     2     1    14
 -3.9082582642308816E-01 a        40     0     2     1    15
 -3.2649157342928359E-01 a        41     0     2     1    16
 -3.4507276515151321E-02 a        42     0     2     1    17
 -1.8166843977461689E+00 a        43     0     2     1    18
  1.2895210820040599E+00 a        44     0     2     1    19
 -3.2233916132415055E+00 a        45     0     2     1    20
  1.6092034272022844E+00 a        46     0     2     1    21
 -6.9506310397679971E-01 a        47     0     2     1    22
  1.3569344588043939E+00 a        48     0     2     1    23
 -2.0750999531689263E+00 a        49     0     2     1    24
  1.4591002248888936E+00 a        50     0     2     1    25
  3.6684093879836297E+00 a        51     0     3     1     1
 -1.4180569378412564E+00 a        52     0     3     1     2
  3.7182729574584088E+00 a        53     0     3     1     3
 -1.3575839553875397E+00 a        54     0     3     1     4
  1.0060818615019868E-01 a        55     0     3     1     5
 -9.7280732377591161E-01 a        56     0     3     1     6
 -1.4017124259309938E-01 a        57     0     3     1     7
  1.4709503519222709E+00 a        58     0     3     1     8
  2.4528603646666050E-01 a        59     0     3     1     9
  1.7584870056463542E+00 a        60     0     3     1    10
 -1.3709396804822759E-02 a        61     0     3     1    11
  2.3348825160592508E+00 a        62     0     3     1    12
  8.1300737890643813E+00 a        63     0     3     1    13
 -4.1526569266771185E-01 a        64     0     3     1    14
 -1.2641413688368657E+00 a        65     0     3     1    15
 -2.4535431120516571E+00 a        66     0     3     1    16
  8.5051583782253048E-01 a        67     0     3     1    17
 -5.1119939491305155E+00 a        68     0     3     1    18
  3.0647073135784071E+00 a        69     0     3     1    19
 -8.5776529132279560E+00 a        70     0     3     1    20
  6.2670624544416755E+00 a        71     0     3     1    21
  1.0073030475777667E-01 a        72     0     3     1    22
  2.7095872488373565E+00 a        73     0     3     1    23
 -1.1134619322960177E+01 a        74     0     3     1    24
  5.1402438229318319E+00 a        75     0     3     1    25
 -2.8825391325682741E+00 a        76     0     4     1     1
  1.3084966368018580E+00 a        77     0     4     1     2
  1.8916852090642253E+00 a        78     0     4     1     3
 -4.5603997750825433E+00 a        79     0     4     1     4
  9.1209809282288312E-01 a        80     0     4     1     5
  2.2849793487677812E+00 a        81     0     4     1     6
 -1.9513729865218210E-01 a        82     0     4     1     7
  2.6009498566442648E+00 a        83     0     4     1     8
 -5.4372952799849317E-01 a        84     0     4     1     9
  3.5221684947892506E+00 a        85     0     4     1    10
 -1.5729747237234928E+00 a        86     0     4     1    11
  3.6439611206185996E+00 a        87     0     4     1    12
  5.2116033760053959E-01 a        88     0     4     1    13
 -3.0132925993143900E+00 a        89     0     4     1    14
 -1.1628345787934762E+00 a        90     0     4     1    15
 -3.7398335333634534E+00 a        91     0     4     1    16
  3.6173670101958604E+00 a        92     0     4     1    17
  4.9087362653313225E+00 a        93     0     4     1    18
  6.7419852674802083E-01 a        94     0     4     1    19
  2.8763462055355746E+00 a        95     0     4     1    20
  5.1532309259423750E+00 a        96     0     4     1    21
  9.1382596776307001E-01 a        97     0     4     1    22
 -7.1381693713286121E-01 a        98     0     4     1    23
 -1.1379897216744135E+01 a        99     0     4     1    24
  3.4500815614921545E+00 a       100     0     4     1    25
  9.7287178968999188E-01 a       101     0     5     1     1
 -3.2513398598843652E+00 a       102     0     5     1     2
 -6.5955846315309747E+00 a       103     0     5     1     3
 -7.6532910782220603E-02 a       104     0     5     1     4
 -1.1876354964360103E+00 a       105     0     5     1     5
 -9.4567541802188615E-01 a       106     0     5     1     6
  1.1336046887200151E+00 a       107     0     5     1     7
  4.0451776470892242E-01 a       108     0     5     1     8
 -7.2626004721825388E-01 a       109     0     5     1     9
 -6.6124606986817058E-01 a       110     0     5     1    10
  1.6879125634990393E+00 a       111     0     5     1    11
 -6.2799160806506187E+00 a       112     0     5     1    12
 -2.4779952810887433E+00 a       113     0     5     1    13
  3.3269051978686224E+00 a       114     0     5     1    14
  1.6794960523226130E+00 a       115     0     5     1    15
  3.8249076212617310E+00 a       116     0     5     1    16
 -1.5084044397656116E+00 a       117     0     5     1    17
 -2.1229213076725215E+00 a       118     0     5     1    18
 -5.3055038235229324E+00 a       119     0     5     1    19
  9.2966664503319529E-01 a       120     0     5     1    20
 -8.1669242325587401E+00 a       121     0     5     1    21
 -7.3831516229216299E-01 a       122     0     5     1    22
 -4.1641540432340562E+00 a       123     0     5     1    23
  1.2692785401300124E+01 a       124     0     5     1    24
 -3.9019437579639802E+00 a       125     0     5     1    25
  6.9618008192554093E-01 a       126     0     6     1     1
  2.4750109803320846E+00 a       127     0     6     1     2
  3.6119934067548329E+00 a       128     0     6     1     3
  1.9145831976284018E+00 a       129     0     6     1     4
 -4.6226166129688617E-01 a       130     0     6     1     5
  4.0956800774452198E-02 a       131     0     6     1     6
 -2.3494780863214709E-01 a       132     0     6     1     7
 -1.6261312171794631E+00 a       133     0     6     1     8
  1.2822563817679251E+00 a       134     0     6     1     9
 -7.6154139442065094E-01 a       135     0     6     1    10
 -1.4915286623786310E+00 a       136     0     6     1    11
  2.1324493964299669E+00 a       137     0     6     1    12
  2.1740391180255800E+00 a       138     0     6     1    13
 -2.3738763239213090E+00 a       139     0     6     1    14
 -6.4596664367994261E-01 a       140     0     6     1    15
 -1.1175187937228135E+00 a       141     0     6     1    16
  6.5544200827930249E-02 a       142     0     6     1    17
 -7.1942457757435394E-02 a       143     0     6     1    18
  3.0934115187074602E+00 a       144     0     6     1    19
 -1.5353383203891748E+00 a       145     0     6     1    20
  3.9014506012405246E+00 a       146     0     6     1    21
  1.7324133202830319E+00 a       147     0     6     1    22
  2.6651972257570806E+00 a       148     0     6     1    23
 -4.0009407084146869E+00 a       149     0     6     1    24
  1.4519770406126682E+00 a       150     0     6     1    25
 -7.5142208808824204E-02 a       151     0     7     1     1
 -5.6169284763669625E-01 a       152     0     7     1     2
 -5.0598895531630184E-01 a       153     0     7     1     3
 -9.1105520996596823E-01 a       154     0     7     1     4
  1.5802490289876894E-01 a       155     0     7     1     5
 -4.9864043821973400E-04 a       156     0     7     1     6
 -8.0274578410924863E-02 a       157     0     7     1     7
  3.3050675071809349E-01 a       158     0     7     1     8
 -5.5710394585953449E-01 a       159     0     7     1     9
  3.1655867749412031E-01 a       160     0     7     1    10
  3.9747387463541733E-01 a       161     0     7     1    11
 -3.3767933941190376E-01 a       162     0     7     1    12
 -6.6879054299242702E-01 a       163     0     7     1    13
  5.7156374614244210E-01 a       164     0     7     1    14
  2.7107176162549246E-01 a       165     0     7     1    15
  4.1907157610067060E-02 a       166     0     7     1    16
 -7.3778282862573180E-02 a       167     0     7     1    17
 -3.2609072940578389E-02 a       168     0     7     1    18
 -8.6401269383920765E-01 a       169     0     7     1    19
  5.2127042339073459E-01 a       170     0     7     1    20
 -9.0378039101537333E-01 a       171     0     7     1    21
 -6.6433452218903266E-01 a       172     0     7     1    22
 -5.8031968130479172E-01 a       173     0     7     1    23
  5.2451736052893116E-01 a       174     0     7     1    24
 -3.6350734215612412E-01 a       175     0     7     1    25
 -1.3597539850200030E-01 a       176     0     8     1     1
  6.7648239564968640E-02 a       177     0     8     1     2
 -1.3436080962496905E-01 a       178     0     8     1     3
  1.9368282643762563E-01 a       179     0     8     1     4
 -7.6327926161925668E-03 a       180     0     8     1     5
  9.6741200310332953E-02 a       181     0     8     1     6
  7.5346722290148785E-02 a       182     0     8     1     7
 -7.9943346294301845E-02 a       183     0     8     1     8
  8.8059981240683469E-02 a       184     0     8     1     9
 -1.9139635116886995E-02 a       185     0     8     1    10
  6.7945006102247393E-02 a       186     0     8     1    11
 -1.5577830610072502E-02 a       187     0     8     1    12
 -7.4180056134087582E-02 a       188     0     8     1    13
 -7.0180195268867762E-02 a       189     0     8     1    14
 -3.1351553192278468E-02 a       190     0     8     1    15
  4.0755684349592688E-02 a       191     0     8     1    16
  7.5450224164498508E-02 a       192     0     8     1    17
  1.0035028471306824E-01 a       193     0     8     1    18
  9.0014809726581560E-02 a       194     0     8     1    19
 -1.0522152120850196E-04 a       195     0     8     1    20
  6.8815132383562724E-02 a       196     0     8     1    21
  5.4403906911970466E-02 a       197     0     8     1    22
 -3.8606059945797771E-03 a       198     0     8     1    23
  5.2482485427587246E-02 a       199     0     8     1    24
 -4.4879192265909543E-02 a       200     0     8     1    25
  4.2168622635289408E+00 a       201     0     9     1     1
  1.8391403699704543E+00 a       202     0     9     1     2
 -7.6242183791981697E+00 a       203     0     9     1     3
 -2.4446375146624351E+00 a       204     0     9     1     4
 -2.1899850741461075E+00 a       205     0     9     1     5
 -1.6644940865382623E+00 a       206     0     9     1     6
 -2.0513560250199534E+00 a       207     0     9     1     7
  9.4830906319211525E+00 a       208     0     9     1     8
  2.1157121378860132E-02 a       209     0     9     1     9
  1.3041320045933278E+00 a       210     0     9     1    10
 -3.0098487732297383E+00 a       211     0     9     1    11
 -4.8265011445038226E+00 a       212     0     9     1    12
 -1.8802014267664928E+00 a       213     0     9     1    13
  6.9646854989339624E-01 a       214     0     9     1    14
 -2.1990554442500714E+00 a       215     0     9     1    15
  1.7589200228280990E+00 a       216     0     9     1    16
  1.7641852407778398E+00 a       217     0     9     1    17
  4.6197050183913948E+00 a       218     0     9     1    18
 -1.6637053812180882E+00 a       219     0     9     1    19
  4.3385837890773207E+00 a       220     0     9     1    20
 -3.1118065790018892E+00 a       221     0     9     1    21
  3.0372207862288096E+00 a       222     0     9     1    22
 -5.1932991753248423E+00 a       223     0     9     1    23
  3.4562173363131534E+00 a       224     0     9     1    24
  1.2485795231950649E+00 a       225     0     9     1    25
  3.5741103653975537E+00 a       226     0    10     1     1
 -2.8218199742301535E+00 a       227     0    10     1     2
  1.5196744451856579E+00 a       228     0    10     1     3
 -1.6170189720972030E+00 a       229     0    10     1     4
 -8.2853494191505017E-01 a       230     0    10     1     5
 -3.8762162579754667E-01 a       231     0    10     1     6
  1.2114229974076085E+00 a       232     0    10     1     7
 -4.1982066845637689E-01 a       233     0    10     1     8
  2.0361765435230872E-01 a       234     0    10     1     9
  1.7567525821598251E+00 a       235     0    10     1    10
 -6.2055068831522331E-01 a       236     0    10     1    11
 -8.1763130282171292E-01 a       237     0    10     1    12
  5.8747969336768131E+00 a       238     0    10     1    13
  2.2411203681531194E-01 a       239     0    10     1    14
  7.8859878724627486E-01 a       240     0    10     1    15
 -1.9909096612815189E+00 a       241     0    10     1    16
