################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.7907140814961540E+00   7.6416989472744223E+00   6.6047886487567107E+00   8.5780265670355205E-01
         1          2   1.6876995122027196E+00   7.2339802510341631E+00   6.2411405274977145E+00   8.0889660141451980E-01
         1          3   1.6255090072577454E+00   6.9906235685226052E+00   6.0218541551221501E+00   7.7951565482761220E-01
         1          4   9.2062935881200358E-01   4.2218635834245735E+00   3.5385569820346192E+00   4.5305512173969037E-01
         1          5   4.4198164949607499E-01   2.2636124305448311E+00   1.8165402595873106E+00   2.3372627966477930E-01
         1          6   1.0754645565233355E-01   7.0865156560013143E-01   5.1399330907238450E-01   6.9756994550925475E-02
         1          7   7.4604187491205424E-03   7.9599111361778385E-02   4.6120508421743575E-02   7.7294302300116103E-03
         1          8   3.9527752416735392E-05   1.4821792088265335E-03   4.4500628169880590E-04   1.3921192364409738E-04
         1          9   1.3482110624502901E+00   1.9420828213430251E+01   1.4823123240022923E+01   3.1876688248183305E+00
         1         10   1.2026397677849929E+00   1.7384172504667809E+01   1.3215039369596315E+01   2.8411115382114365E+00
         1         11   1.0734241658489232E+00   1.5580905032854446E+01   1.1796091964036314E+01   2.5358090172068901E+00
         1         12   4.4617034541141087E-01   1.6877645303149482E+01   1.2593194501906735E+01   3.1723283048411730E+00
         1         13   3.9391504296765745E-01   1.5244655654693414E+01   1.1312825041804535E+01   2.8431777970265126E+00
         1         14   3.4795675306137852E-01   1.3786160420833815E+01   1.0173441633045005E+01   2.5513772197372853E+00
         1         15   5.2003345156999359E-01   7.0903055630574956E+00   5.2665493665748269E+00   1.1169070656469766E+00
         1         16   4.6562251745400968E-01   6.3834081802332969E+00   4.7215729156537511E+00   1.0022330767288459E+00
         1         17   4.1709754548277966E-01   5.7530014294371821E+00   4.2373766641724941E+00   9.0038237225327700E-01
         1         18   1.1565104410797822E-01   6.9880072256689632E+00   5.0320079829919120E+00   1.2673392793006517E+00
         1         19   1.0473189271549947E-01   6.3521169630802685E+00   4.5460094419200354E+00   1.1432543221798703E+00
         1         20   9.4938328140280193E-02   5.7792722651092499E+00   4.1101482486162659E+00   1.0323051934148668E+00
         1         21   3.0666892269660035E-02   3.1926157829110777E+00   2.2134220840275454E+00   5.5598774815499497E-01
         1         22   2.7761589897225134E-02   2.9158645225327859E+00   2.0079895668617200E+00   5.0407558697649502E-01
         1         23   2.5153732733213301E-02   2.6648825609141240E+00   1.8226592558216972E+00   4.5734360840677052E-01
         1         24   2.9358413217221623E-06   4.1510725042291093E-04   1.2549505553541759E-04   4.3568510365497375E-05
         1         25   1.1179445266717533E-06   1.9890374356091369E-04   5.4605530294264395E-05   2.0292619033755511E-05
         1         26   4.2670027989262416E-07   9.8398358593169348E-05   2.3870513833888450E-05   9.5193405767900923E-06
