################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.8261404165018698E+00 a         1     0     1     1     1
  9.4117018867918900E-01 a         2     0     1     1     2
  7.2419104237286858E-01 a         3     0     1     1     3
 -5.2610217936625869E-01 a         4     0     1     1     4
  1.4748871126064555E-02 a         5     0     1     1     5
  9.3050283385533419E+00 a         6     0     1     1     6
 -3.8830771590541940E-01 a         7     0     1     1     7
 -1.2536253684598024E+00 a         8     0     1     1     8
 -1.7207423615422603E+00 a         9     0     1     1     9
  1.1509750473941533E+00 a        10     0     1     1    10
 -1.1863732770661530E+00 a        11     0     1     1    11
  2.1192283721681031E+00 a        12     0     1     1    12
 -1.8002284273035942E+00 a        13     0     1     1    13
  3.9668433723785973E-01 a        14     0     1     1    14
 -9.9813283564581390E-01 a        15     0     1     1    15
  1.5900105951633383E+00 a        16     0     1     1    16
  2.9892768685072313E-01 a        17     0     1     1    17
 -1.7465788669859216E-02 a        18     0     1     1    18
  2.7194312554710381E-01 a        19     0     1     1    19
  2.5351083928535005E+00 a        20     0     1     1    20
 -3.0911094639296501E+00 a        21     0     1     1    21
  2.0394091923931570E+00 a        22     0     1     1    22
  1.1097145074370409E+00 a        23     0     1     1    23
  2.5668633689326460E-02 a        24     0     1     1    24
  2.9623209985354753E+00 a        25     0     1     1    25
 -1.7342964484036341E-01 a        26     0     2     1     1
 -8.8478251987674228E-01 a        27     0     2     1     2
 -2.6234860652224951E-01 a        28     0     2     1     3
 -1.7828509519546848E-01 a        29     0     2     1     4
 -6.5301256167180277E-01 a        30     0     2     1     5
 -1.9982726903608548E+00 a        31     0     2     1     6
