################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   6.4092475013749617E+00   7.6416989472744223E+00   7.0806428690379990E+00   1.3541009825648037E-01
         1          2   6.0390459637151919E+00   7.2339802510341631E+00   6.6899830969000638E+00   1.3108085620466359E-01
         1          3   5.8161317013277074E+00   6.9906235685226052E+00   6.4544676291513294E+00   1.2847801259658356E-01
         1          4   3.3158466996845277E+00   4.2218635834245735E+00   3.7906976222070217E+00   9.7274827484242446E-02
         1          5   1.6294522219155776E+00   2.2636124305448311E+00   1.9470832080479203E+00   6.7937814837884941E-02
         1          6   4.2142299675527722E-01   7.0865156560013143E-01   5.5307583716299957E-01   3.1001452963818153E-02
         1          7   3.1942515025669985E-02   7.9599111361778385E-02   5.0292506745218707E-02   5.5220566545928626E-03
         1          8   2.2405337027991065E-04   1.4821792088265335E-03   5.0276834963177601E-04   1.3753591674372229E-04
         1          9   1.3723435787947608E+01   1.9420828213430251E+01   1.6690956718438475E+01   6.3814758588402531E-01
         1         10   1.2167071143903582E+01   1.7384172504667809E+01   1.4879591616319889E+01   5.8078700157011942E-01
         1         11   1.0799276652412058E+01   1.5580905032854446E+01   1.3281548528479195E+01   5.3001458182430594E-01
         1         12   1.1670831294884131E+01   1.6877645303149482E+01   1.4386120107369381E+01   5.7437359231968499E-01
         1         13   1.0416832076290671E+01   1.5244655654693414E+01   1.2920388168347280E+01   5.3041741979300594E-01
         1         14   9.3065347945903429E+00   1.3786160420833815E+01   1.1616625738955458E+01   4.9059640090435497E-01
         1         15   4.7010733206191961E+00   7.0903055630574956E+00   5.9255236847874118E+00   2.6271032092382773E-01
         1         16   4.1891006955971521E+00   6.3834081802332969E+00   5.3126915643636252E+00   2.4148547070772974E-01
         1         17   3.7363338766818299E+00   5.7530014294371821E+00   4.7682287252796849E+00   2.2228933615387256E-01
         1         18   4.4837767420150181E+00   6.9880072256689632E+00   5.7488581004028045E+00   2.7259508308328800E-01
         1         19   4.0223292193596292E+00   6.3521169630802685E+00   5.1929767176219119E+00   2.5340529329023770E-01
         1         20   3.6109214898733719E+00   5.7792722651092499E+00   4.6946021145634198E+00   2.3570707839472960E-01
         1         21   1.8870806170348631E+00   3.1926157829110777E+00   2.5283809532492718E+00   1.4204999393232304E-01
         1         22   1.6991353276766079E+00   2.9158645225327859E+00   2.2936637637586061E+00   1.3238310300800424E-01
         1         23   1.5307039966595861E+00   2.6648825609141240E+00   2.0819579134923489E+00   1.2339884960241161E-01
         1         24   4.7544809275887241E-05   4.1510725042291093E-04   1.4679563527679446E-04   3.8924641263269436E-05
         1         25   1.9311793857006890E-05   1.9890374356091369E-04   6.4238547732679000E-05   1.8861755355441421E-05
         1         26   7.8870297193204808E-06   9.8398358593169348E-05   2.8248906105767632E-05   9.1538952402386577E-06
