################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.9728149408899032E-01 a         1     0     1     1     1
  1.5116767370527809E-01 a         2     0     1     1     2
 -1.3285829355627572E+00 a         3     0     1     1     3
  1.6687960988864925E+00 a         4     0     1     1     4
  3.1861978156282106E-01 a         5     0     1     1     5
 -1.7353610114089360E-01 a         6     0     1     1     6
  2.0010303665637347E-01 a         7     0     1     1     7
  2.4018572476879625E-02 a         8     0     1     1     8
 -4.1535167118639976E-01 a         9     0     1     1     9
 -8.8837754030949301E-01 a        10     0     1     1    10
 -1.7921465031045483E+00 a        11     0     1     1    11
  7.4041726285485165E-01 a        12     0     1     1    12
  9.6336618680403829E-02 a        13     0     1     1    13
  7.3211667543671954E-01 a        14     0     1     1    14
  6.5458454242654629E-01 a        15     0     1     1    15
  1.4654988266124771E+00 a        16     0     1     1    16
  5.4449455211567654E-01 a        17     0     1     1    17
  1.3172530756043452E+00 a        18     0     1     1    18
 -1.5524400638107807E+00 a        19     0     1     1    19
 -4.9138086738921161E-01 a        20     0     1     1    20
 -5.2388266103799959E+00 a        21     0     1     1    21
  9.1444038025155372E-01 a        22     0     1     1    22
 -3.7915676132382092E+00 a        23     0     1     1    23
 -9.2176027908172475E-02 a        24     0     1     1    24
  2.1185695474168873E+00 a        25     0     1     1    25
 -2.9471611789035407E-01 a        26     0     2     1     1
  8.0689472362064737E-02 a        27     0     2     1     2
  1.9432918837127400E-01 a        28     0     2     1     3
 -2.4535777254909494E-01 a        29     0     2     1     4
 -1.0328915866266049E+00 a        30     0     2     1     5
 -3.6834869583838464E-01 a        31     0     2     1     6
  2.1042407417208722E-01 a        32     0     2     1     7
 -4.6056452588418145E-01 a        33     0     2     1     8
  1.3465612342358216E-01 a        34     0     2     1     9
  2.3413338760673322E-01 a        35     0     2     1    10
  5.3600697554105381E-01 a        36     0     2     1    11
 -9.1364572560281576E-01 a        37     0     2     1    12
 -1.4048055582304000E-04 a        38     0     2     1    13
  3.1069340591226596E-01 a        39     0     2     1    14
  1.2553443863356431E-01 a        40     0     2     1    15
 -3.1967766154460675E-01 a        41     0     2     1    16
  3.7138904917394466E-01 a        42     0     2     1    17
 -9.5478412354484107E-02 a        43     0     2     1    18
  1.1765446216511162E+00 a        44     0     2     1    19
 -2.9892199107218920E-01 a        45     0     2     1    20
  1.2955900945056109E+00 a        46     0     2     1    21
 -9.8841440830040983E-02 a        47     0     2     1    22
  1.1111196496624709E+00 a        48     0     2     1    23
 -3.9828968228100203E-01 a        49     0     2     1    24
 -1.3904403296801449E+00 a        50     0     2     1    25
 -5.6976909437958723E-01 a        51     0     3     1     1
  4.8045105022644297E-01 a        52     0     3     1     2
  9.8839241379525211E-01 a        53     0     3     1     3
 -1.6148600616272910E+00 a        54     0     3     1     4
 -1.2622319497140777E+00 a        55     0     3     1     5
  2.8762996347947317E-01 a        56     0     3     1     6
  3.4678519520979229E-01 a        57     0     3     1     7
 -8.8706589569898886E-01 a        58     0     3     1     8
  9.6416377527336106E-01 a        59     0     3     1     9
  2.1823941266221261E+00 a        60     0     3     1    10
  1.7578125175941239E+00 a        61     0     3     1    11
 -1.4049158899910319E+00 a        62     0     3     1    12
 -1.0494399122455980E-01 a        63     0     3     1    13
 -2.2753321798799292E-01 a        64     0     3     1    14
  3.9579129770989824E-01 a        65     0     3     1    15
 -1.3039259909480994E+00 a        66     0     3     1    16
  6.5552142281569448E-01 a        67     0     3     1    17
 -7.1337301735573111E-01 a        68     0     3     1    18
  2.1625403591796131E+00 a        69     0     3     1    19
  6.5232014470267641E-01 a        70     0     3     1    20
  5.2358919452776336E+00 a        71     0     3     1    21
 -5.0481826152946507E-01 a        72     0     3     1    22
  2.9747251512100785E+00 a        73     0     3     1    23
  1.5884590117860381E-01 a        74     0     3     1    24
 -2.5139573463312788E+00 a        75     0     3     1    25
  1.5425657812738631E+00 a        76     0     4     1     1
 -9.3448128431836600E-02 a        77     0     4     1     2
  4.0537338530727035E-01 a        78     0     4     1     3
 -2.4622333830434442E-01 a        79     0     4     1     4
  1.3070041302543860E+00 a        80     0     4     1     5
  1.6183447597869447E+00 a        81     0     4     1     6
 -1.0844353040914729E+00 a        82     0     4     1     7
  2.1354141737965504E+00 a        83     0     4     1     8
  1.1953615601512144E+00 a        84     0     4     1     9
 -2.5639894940875716E+00 a        85     0     4     1    10
 -7.0035480061531785E-01 a        86     0     4     1    11
  1.2782768343323250E+00 a        87     0     4     1    12
  1.5789827332519306E+00 a        88     0     4     1    13
 -1.0948129323738631E+00 a        89     0     4     1    14
  4.9093706685104532E-01 a        90     0     4     1    15
 -7.6791824277587928E-01 a        91     0     4     1    16
 -2.5819270129595009E+00 a        92     0     4     1    17
  1.6006393247088097E-01 a        93     0     4     1    18
 -1.8736573715889970E+00 a        94     0     4     1    19
  4.5140597410942562E-01 a        95     0     4     1    20
 -6.4014480829191978E-01 a        96     0     4     1    21
  1.0716640169673326E+00 a        97     0     4     1    22
 -1.9107118127995062E+00 a        98     0     4     1    23
  7.2929434469252152E-03 a        99     0     4     1    24
  9.6178396285082379E-01 a       100     0     4     1    25
  9.3549855496972478E-02 a       101     0     5     1     1
 -8.6119901525063614E-01 a       102     0     5     1     2
  3.9400474257571383E-01 a       103     0     5     1     3
 -3.3928944295537167E-02 a       104     0     5     1     4
 -6.0042277516029174E-01 a       105     0     5     1     5
 -2.6283467753688021E+00 a       106     0     5     1     6
 -1.7196305073669310E-01 a       107     0     5     1     7
 -1.4835919270671925E+00 a       108     0     5     1     8
 -1.1176965537298322E+00 a       109     0     5     1     9
  6.2671040308187431E-01 a       110     0     5     1    10
 -2.8785431004500456E-01 a       111     0     5     1    11
  7.8317757159119883E-01 a       112     0     5     1    12
 -2.4887941585916638E+00 a       113     0     5     1    13
 -2.1385520243200724E+00 a       114     0     5     1    14
 -1.0173314128322666E+00 a       115     0     5     1    15
  1.4967595451370599E+00 a       116     0     5     1    16
  2.3856003625137561E+00 a       117     0     5     1    17
 -3.6039926786435805E-02 a       118     0     5     1    18
  4.6053650584133526E-01 a       119     0     5     1    19
 -9.6180025796342883E-01 a       120     0     5     1    20
 -1.5355342152280163E+00 a       121     0     5     1    21
 -6.9226526093659146E-01 a       122     0     5     1    22
  7.0013416476481294E-02 a       123     0     5     1    23
  1.5627838765620485E+00 a       124     0     5     1    24
  9.9992966828812957E-01 a       125     0     5     1    25
 -5.2511321016200951E-01 a       126     0     6     1     1
  9.2540163165663492E-01 a       127     0     6     1     2
 -6.5655450393255099E-01 a       128     0     6     1     3
  2.3868462276560665E-01 a       129     0     6     1     4
  2.6949538735638728E-01 a       130     0     6     1     5
  1.1017448350697443E+00 a       131     0     6     1     6
  2.5661652410496733E-01 a       132     0     6     1     7
  8.7001292365043850E-02 a       133     0     6     1     8
  3.6323841310590677E-01 a       134     0     6     1     9
  8.5046315408006146E-01 a       135     0     6     1    10
  8.0384499192840475E-01 a       136     0     6     1    11
 -1.2145093312910440E+00 a       137     0     6     1    12
