################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   9.8511482085972246E-01   7.6416989472744223E+00   6.4832941768079566E+00   9.3370535500520135E-01
         1          2   9.2957595096006329E-01   7.2339802510341631E+00   6.1261903660764583E+00   8.8132384650714779E-01
         1          3   8.9622485510430561E-01   6.9906235685226052E+00   5.9108453782668953E+00   8.4982281156519401E-01
         1          4   5.2666296037381910E-01   4.2218635834245735E+00   3.4720511810111083E+00   4.9763644541509389E-01
         1          5   2.6470547433860286E-01   2.2636124305448311E+00   1.7811751769339401E+00   2.5770601534100940E-01
         1          6   7.5175898967509522E-02   7.0865156560013143E-01   5.0317752814370087E-01   7.6098318798800663E-02
         1          7   7.4604187491205424E-03   7.9599111361778385E-02   4.4983435460975087E-02   8.0106884683835804E-03
         1          8   3.9527752416735392E-05   1.4821792088265335E-03   4.3014829002301113E-04   1.3677461781236693E-04
         1          9   4.8482398956718370E-01   1.9420828213430251E+01   1.4349876566706190E+01   3.3938404171309022E+00
         1         10   4.2609643817214804E-01   1.7384172504667809E+01   1.2792836540673472E+01   3.0265658127770698E+00
         1         11   3.7481395623281577E-01   1.5580905032854446E+01   1.1418896104590738E+01   2.7028385481141677E+00
         1         12   1.4477631696886489E-02   1.6877645303149482E+01   1.2144715208668126E+01   3.4129017281190359E+00
         1         13   1.2589426001680943E-02   1.5244655654693414E+01   1.0909391234670482E+01   3.0619619973630203E+00
         1         14   1.0957238713786474E-02   1.3786160420833815E+01   9.8100752035836400E+00   2.7504724013695463E+00
         1         15   1.8167129825446712E-01   7.0903055630574956E+00   5.0976629472124788E+00   1.1909657768086843E+00
         1         16   1.6043882298509296E-01   6.3834081802332969E+00   4.5699080372442848E+00   1.0691954583831942E+00
         1         17   1.4178632017770634E-01   5.7530014294371821E+00   4.1010214994790291E+00   9.6098093114682026E-01
         1         18   1.3810470462148981E-03   6.9880072256689632E+00   4.8482178027197689E+00   1.3741101699987091E+00
         1         19   1.1975701611088246E-03   6.3521169630802685E+00   4.3795663444271495E+00   1.2406847106172736E+00
         1         20   1.0392202695592783E-03   5.7792722651092499E+00   3.9592797962719994E+00   1.1212340275557553E+00
         1         21   1.4930668621527287E-04   3.1926157829110777E+00   2.1305241846587446E+00   6.0699085215332116E-01
         1         22   1.2896672100772252E-04   2.9158645225327859E+00   1.9325560588628761E+00   5.5067585897505322E-01
         1         23   1.1145955500160387E-04   2.6648825609141240E+00   1.7539742691847457E+00   4.9992227881179074E-01
         1         24   1.9651339812768614E-07   4.1510725042291093E-04   1.1978775605276304E-04   4.3152478451483466E-05
         1         25   6.1303275559301091E-08   1.9890374356091369E-04   5.2026206757234515E-05   1.9927668478572021E-05
         1         26   1.9126539858924325E-08   9.8398358593169348E-05   2.2698996776593199E-05   9.2782578500383299E-06
