################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.3875385764501041E-01 a         1     0     1     1     1
  9.8612288773439847E+00 a         2     0     1     1     2
 -2.6897339915307907E+00 a         3     0     1     1     3
  2.1978818644803608E+00 a         4     0     1     1     4
 -5.5221432051286301E-01 a         5     0     1     1     5
 -3.7227283152594709E-01 a         6     0     1     1     6
  2.3821877978063219E+00 a         7     0     1     1     7
  3.8834287533287197E+00 a         8     0     1     1     8
  1.9670050674923312E+00 a         9     0     1     1     9
  2.5316789962281834E+00 a        10     0     1     1    10
  7.5182790419635737E+00 a        11     0     1     1    11
 -1.3491695932309238E+00 a        12     0     1     1    12
  1.5693271266767341E+00 a        13     0     1     1    13
 -2.7891913691235475E+00 a        14     0     1     1    14
 -2.0674012566178357E+00 a        15     0     1     1    15
  2.3522621158166248E+00 a        16     0     1     1    16
  1.4112947966955560E+00 a        17     0     1     1    17
  9.6086150151857996E-01 a        18     0     1     1    18
  5.7993862189218115E-01 a        19     0     1     1    19
 -9.8575142096846289E+00 a        20     0     1     1    20
  1.1044149942979842E+00 a        21     0     1     1    21
  2.2619368955471766E-01 a        22     0     1     1    22
 -5.4685518192102958E+00 a        23     0     1     1    23
 -5.0185500000194869E+00 a        24     0     1     1    24
 -1.3502115356883778E+01 a        25     0     1     1    25
  1.8753464385892585E-01 a        26     0     2     1     1
 -3.0887302977035862E+00 a        27     0     2     1     2
 -3.2279223882785635E-01 a        28     0     2     1     3
 -6.5248107364126862E-01 a        29     0     2     1     4
 -4.6407296345784882E-01 a        30     0     2     1     5
 -2.6869715030448366E-01 a        31     0     2     1     6
