################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.6190754602153425E-02 a         1     0     1     1     1
 -1.3778769267199558E+00 a         2     0     1     1     2
  7.4750554200396895E+00 a         3     0     1     1     3
 -3.9212567634856232E+00 a         4     0     1     1     4
 -2.8907221636461138E+00 a         5     0     1     1     5
 -7.2844006154324370E-01 a         6     0     1     1     6
  6.6577502342448360E+00 a         7     0     1     1     7
 -2.2296249471840457E+00 a         8     0     1     1     8
 -5.1423387528699367E+00 a         9     0     1     1     9
 -8.9180664332420161E+00 a        10     0     1     1    10
  6.7644048324899120E-01 a        11     0     1     1    11
 -3.6868999036475292E+00 a        12     0     1     1    12
 -4.1890567782710644E+00 a        13     0     1     1    13
 -3.3750625872457394E+00 a        14     0     1     1    14
 -4.6337959590915140E-01 a        15     0     1     1    15
  1.5937456748175522E+00 a        16     0     1     1    16
 -6.6969835471257178E-01 a        17     0     1     1    17
 -1.3575915568459809E+00 a        18     0     1     1    18
 -1.1002688316674829E+00 a        19     0     1     1    19
  1.1902858042544261E-01 a        20     0     1     1    20
  3.4922448828713741E+00 a        21     0     1     1    21
 -1.6173327015380494E+00 a        22     0     1     1    22
  6.9197667665616773E+00 a        23     0     1     1    23
  7.9444814101742556E-01 a        24     0     1     1    24
  7.8190299517448620E+00 a        25     0     1     1    25
 -2.0221290195087399E-01 a        26     0     2     1     1
  9.2650005948754410E-01 a        27     0     2     1     2
 -1.8275853774686437E+00 a        28     0     2     1     3
  1.3095385201053313E+00 a        29     0     2     1     4
  1.2875989423277783E+00 a        30     0     2     1     5
  9.0974553998175112E-01 a        31     0     2     1     6
 -1.2499545966965468E+00 a        32     0     2     1     7
  3.2103868672050495E-01 a        33     0     2     1     8
  2.0745212876696346E+00 a        34     0     2     1     9
  1.7238359816457907E+00 a        35     0     2     1    10
  5.3266981875816022E-01 a        36     0     2     1    11
 -9.2260889610990393E-01 a        37     0     2     1    12
  9.8521373625347153E-01 a        38     0     2     1    13
  2.2132211733976237E-01 a        39     0     2     1    14
  7.0308155387766924E-01 a        40     0     2     1    15
  1.5721130800005031E-01 a        41     0     2     1    16
 -1.4964488777495388E+00 a        42     0     2     1    17
 -5.9909059071159709E-01 a        43     0     2     1    18
  7.5356598422078080E-01 a        44     0     2     1    19
 -2.6829041274687909E-01 a        45     0     2     1    20
  7.4256699548570657E-02 a        46     0     2     1    21
  6.6420138519909921E-01 a        47     0     2     1    22
 -2.2534338220757166E+00 a        48     0     2     1    23
 -7.3061015021988440E-01 a        49     0     2     1    24
 -1.1471443763731759E+00 a        50     0     2     1    25
 -9.2762606096960776E-01 a        51     0     3     1     1
  1.4452159088869154E+00 a        52     0     3     1     2
 -6.3293228567209763E+00 a        53     0     3     1     3
  3.9286151628015400E+00 a        54     0     3     1     4
  3.0425620891097735E+00 a        55     0     3     1     5
